Filename	SSIM Loss	Anomaly Status	Category
1.png	0.0002	Normal	fault
2.png	0.0002	Normal	fault
3.png	0.0002	Normal	fault
4.png	0.0002	Normal	fault
5.png	0.0002	Normal	fault
6.png	0.0002	Normal	fault
7.png	0.0002	Normal	fault
8.png	0.0002	Normal	fault
1_0_0.png	0.0002	Normal	non_fault
1_0_256.png	0.0002	Normal	non_fault
1_256_0.png	0.0002	Normal	non_fault
1_256_256.png	0.0002	Normal	non_fault
2_0_0.png	0.0002	Normal	non_fault
2_0_256.png	0.0001	Normal	non_fault
2_256_0.png	0.0002	Normal	non_fault
2_256_256.png	0.0001	Normal	non_fault
4_0_0.png	0.0001	Normal	non_fault
4_0_256.png	0.0002	Normal	non_fault
4_256_0.png	0.0001	Normal	non_fault
4_256_256.png	0.0002	Normal	non_fault
5_0_0.png	0.0002	Normal	non_fault
5_0_256.png	0.0002	Normal	non_fault
5_256_0.png	0.0002	Normal	non_fault
5_256_256.png	0.0002	Normal	non_fault
6_0_0.png	0.0002	Normal	non_fault
6_0_256.png	0.0002	Normal	non_fault
6_256_0.png	0.0002	Normal	non_fault
6_256_256.png	0.0002	Normal	non_fault
